,date,count
0,2018 Jul 21 16 00,11
1,2018 Jul 21 17 00,4
2,2018 Jul 21 18 00,2
3,2018 Jul 21 19 00,2
4,2018 Jul 21 21 00,2
5,2018 Jul 22 01 00,2
6,2018 Jul 22 02 00,1
7,2018 Jul 22 03 00,5
8,2018 Jul 22 04 00,9
9,2018 Jul 22 05 00,6
10,2018 Jul 22 07 00,4
11,2018 Jul 22 08 00,6
12,2018 Jul 22 09 00,4
13,2018 Jul 22 10 00,6
14,2018 Jul 22 11 00,2
15,2018 Jul 22 12 00,1
16,2018 Jul 22 13 00,2
17,2018 Jul 22 14 00,2
18,2018 Jul 22 15 00,1
19,2018 Jul 22 16 00,3
20,2018 Jul 22 17 00,2
21,2018 Jul 22 18 00,1
22,2018 Jul 22 19 00,1
23,2018 Jul 22 20 00,2
24,2018 Jul 22 21 00,1
25,2018 Jul 22 22 00,1
26,2018 Jul 22 23 00,1
27,2018 Jul 23 02 00,3
28,2018 Jul 23 03 00,14
29,2018 Jul 23 04 00,16
30,2018 Jul 23 05 00,13
31,2018 Jul 23 06 00,11
32,2018 Jul 23 07 00,18
33,2018 Jul 23 08 00,9
34,2018 Jul 23 09 00,10
35,2018 Jul 23 10 00,6
36,2018 Jul 23 11 00,10
37,2018 Jul 23 12 00,3
38,2018 Jul 23 13 00,4
39,2018 Jul 23 14 00,4
40,2018 Jul 23 15 00,7
41,2018 Jul 23 16 00,4
42,2018 Jul 23 17 00,4
43,2018 Jul 23 18 00,9
44,2018 Jul 23 19 00,3
45,2018 Jul 23 20 00,2
46,2018 Jul 23 21 00,1
47,2018 Jul 23 22 00,2
48,2018 Jul 23 23 00,3
49,2018 Jul 24 00 00,1
50,2018 Jul 24 01 00,2
51,2018 Jul 24 02 00,4
52,2018 Jul 24 03 00,5
53,2018 Jul 24 04 00,6
54,2018 Jul 24 05 00,4
55,2018 Jul 24 06 00,4
56,2018 Jul 24 07 00,4
57,2018 Jul 24 08 00,6
58,2018 Jul 24 09 00,1
59,2018 Jul 24 10 00,1
60,2018 Jul 24 11 00,1
61,2018 Jul 24 12 00,1
62,2018 Jul 24 13 00,4
63,2018 Jul 24 14 00,13
64,2018 Jul 24 15 00,2
65,2018 Jul 24 16 00,9
66,2018 Jul 24 17 00,5
67,2018 Jul 24 18 00,1
68,2018 Jul 24 19 00,5
69,2018 Jul 24 20 00,5
70,2018 Jul 24 21 00,1
71,2018 Jul 24 23 00,1
72,2018 Jul 25 01 00,4
73,2018 Jul 25 02 00,7
74,2018 Jul 25 04 00,3
75,2018 Jul 25 06 00,4
76,2018 Jul 25 07 00,5
77,2018 Jul 25 08 00,1
78,2018 Jul 25 09 00,2
79,2018 Jul 25 10 00,2
80,2018 Jul 25 11 00,1
81,2018 Jul 25 12 00,29
82,2018 Jul 25 13 00,12
83,2018 Jul 25 14 00,4
84,2018 Jul 25 15 00,9
85,2018 Jul 25 16 00,14
86,2018 Jul 25 17 00,6
87,2018 Jul 25 18 00,4
88,2018 Jul 25 19 00,5
89,2018 Jul 25 20 00,2
90,2018 Jul 26 00 00,1
91,2018 Jul 26 02 00,4
92,2018 Jul 26 03 00,5
93,2018 Jul 26 05 00,1
94,2018 Jul 26 06 00,1
95,2018 Jul 26 07 00,16
96,2018 Jul 26 08 00,10
97,2018 Jul 26 09 00,6
98,2018 Jul 26 10 00,11
99,2018 Jul 26 11 00,5
100,2018 Jul 26 12 00,5
101,2018 Jul 26 13 00,5
102,2018 Jul 26 14 00,2
103,2018 Jul 26 15 00,1
104,2018 Jul 26 16 00,2
105,2018 Jul 26 17 00,3
106,2018 Jul 26 18 00,3
107,2018 Jul 26 20 00,1
108,2018 Jul 27 02 00,1
109,2018 Jul 27 03 00,1
110,2018 Jul 27 05 00,5
111,2018 Jul 27 06 00,2
112,2018 Jul 27 07 00,2
113,2018 Jul 27 08 00,1
114,2018 Jul 27 09 00,3
115,2018 Jul 27 10 00,2
116,2018 Jul 27 12 00,3
117,2018 Jul 27 13 00,1
118,2018 Jul 27 14 00,2
119,2018 Jul 27 15 00,3
120,2018 Jul 27 16 00,2
121,2018 Jul 27 17 00,2
122,2018 Jul 27 18 00,1
123,2018 Jul 27 19 00,1
124,2018 Jul 27 20 00,2
125,2018 Jul 27 21 00,1
126,2018 Jul 27 22 00,1
127,2018 Jul 28 01 00,2
128,2018 Jul 28 03 00,2
129,2018 Jul 28 04 00,1
130,2018 Jul 28 05 00,1
131,2018 Jul 28 06 00,1
