,date,price
0,2018 Jul 28 13 00,3765.0
1,2018 Jul 28 14 00,1882.0
2,2018 Jul 28 15 00,1255.0
3,2018 Jul 28 16 00,0.0
4,2018 Jul 28 17 00,0.0
5,2018 Jul 28 18 00,0.0
6,2018 Jul 28 19 00,335.0
7,2018 Jul 28 20 00,335.0
8,2018 Jul 28 21 00,335.0
9,2018 Jul 28 22 00,0.0
10,2018 Jul 28 23 00,0.0
11,2018 Jul 29 00 00,0.0
12,2018 Jul 29 01 00,0.0
13,2018 Jul 29 02 00,0.0
14,2018 Jul 29 03 00,4.0
15,2018 Jul 29 04 00,16.0
16,2018 Jul 29 05 00,59.0
17,2018 Jul 29 06 00,55.0
18,2018 Jul 29 07 00,304.0
19,2018 Jul 29 08 00,261.0
20,2018 Jul 29 09 00,265.0
21,2018 Jul 29 10 00,4.0
22,2018 Jul 29 11 00,12.0
23,2018 Jul 29 12 00,435.0
24,2018 Jul 29 13 00,487.0
25,2018 Jul 29 14 00,522.0
26,2018 Jul 29 15 00,116.0
27,2018 Jul 29 16 00,68.0
28,2018 Jul 29 17 00,25.0
29,2018 Jul 29 18 00,29.0
30,2018 Jul 29 19 00,25.0
31,2018 Jul 29 20 00,25.0
32,2018 Jul 29 21 00,1.0
33,2018 Jul 29 22 00,0.0
34,2018 Jul 29 23 00,0.0
35,2018 Jul 30 00 00,0.0
36,2018 Jul 30 01 00,4.0
37,2018 Jul 30 02 00,4.0
38,2018 Jul 30 03 00,4.0
39,2018 Jul 30 04 00,32.0
40,2018 Jul 30 05 00,48.0
41,2018 Jul 30 06 00,72.0
42,2018 Jul 30 07 00,88.0
43,2018 Jul 30 08 00,411.0
44,2018 Jul 30 09 00,755.0
45,2018 Jul 30 10 00,1046.0
46,2018 Jul 30 11 00,713.0
47,2018 Jul 30 12 00,5614.0
48,2018 Jul 30 13 00,18346.0
49,2018 Jul 30 14 00,26332.0
50,2018 Jul 30 15 00,25182.0
51,2018 Jul 30 16 00,15203.0
52,2018 Jul 30 17 00,9515.0
53,2018 Jul 30 18 00,7287.0
54,2018 Jul 30 19 00,6293.0
55,2018 Jul 30 20 00,4180.0
56,2018 Jul 30 21 00,2695.0
57,2018 Jul 30 22 00,875.0
58,2018 Jul 30 23 00,936.0
59,2018 Jul 31 00 00,988.0
60,2018 Jul 31 01 00,1260.0
61,2018 Jul 31 02 00,1448.0
62,2018 Jul 31 03 00,1877.0
63,2018 Jul 31 04 00,2759.0
64,2018 Jul 31 05 00,2921.0
65,2018 Jul 31 06 00,3122.0
66,2018 Jul 31 07 00,2323.0
67,2018 Jul 31 08 00,2131.0
68,2018 Jul 31 09 00,1555.0
69,2018 Jul 31 10 00,1225.0
70,2018 Jul 31 11 00,1567.0
71,2018 Jul 31 12 00,1227.0
72,2018 Jul 31 13 00,1069.0
73,2018 Jul 31 14 00,470.0
74,2018 Jul 31 15 00,683.0
75,2018 Jul 31 16 00,802.0
76,2018 Jul 31 17 00,647.0
77,2018 Jul 31 18 00,265.0
78,2018 Jul 31 19 00,37.0
79,2018 Jul 31 20 00,37.0
80,2018 Jul 31 21 00,35.0
81,2018 Jul 31 22 00,10.0
82,2018 Jul 31 23 00,18.0
83,2018 Aug 01 00 00,148.0
84,2018 Aug 01 01 00,143.0
85,2018 Aug 01 02 00,463.0
86,2018 Aug 01 03 00,334.0
87,2018 Aug 01 04 00,645.0
88,2018 Aug 01 05 00,1170.0
89,2018 Aug 01 06 00,1264.0
90,2018 Aug 01 07 00,1048.0
91,2018 Aug 01 08 00,448.0
92,2018 Aug 01 09 00,445.0
93,2018 Aug 01 10 00,345.0
94,2018 Aug 01 11 00,170.0
95,2018 Aug 01 12 00,2119.0
96,2018 Aug 01 13 00,2346.0
97,2018 Aug 01 14 00,2443.0
98,2018 Aug 01 15 00,2941.0
99,2018 Aug 01 16 00,4175.0
100,2018 Aug 01 17 00,8730.0
101,2018 Aug 01 18 00,13353.0
102,2018 Aug 01 19 00,15656.0
103,2018 Aug 01 20 00,12564.0
104,2018 Aug 01 21 00,6710.0
